drug_name,review_source,drug_review,tokens,concreteness,modality,sentiments,disease,side effects,side effects grouped,side effects cleaned,side_effects_cleaned_grouped
Elidel,Drugs.com,no! no! no! do not use Elidel it's worse than using hydrocortisone. It took me over a year for my face to clear up which is where my doctor told me to apply it on. Big mistake. Please note that prolonged use of any topical treatment for eczema such as topical steroids and even immunosuppressants like Elidel can lead to developing Topical Steroid Withdrawal/topical steroid withdrawal. if you feel your eczema is getting worse and worse please look up topical steroid withdrawal!,"['use', 'elidel', 'bad', 'hydrocortisone', 'take', 'year', 'face', 'clear', 'doctor', 'tell', 'apply', 'big', 'mistake', 'note', 'prolong', 'use', 'topical', 'treatment', 'eczema', 'topical', 'steroid', 'immunosuppressant', 'like', 'elidel', 'lead', 'develop', 'red', 'skin', 'syndrome', 'topical', 'steroid', 'withdrawal', 'feel', 'eczema', 'get', 'bad', 'bad', 'look', 'topical', 'steroid', 'withdrawal']",0.365854,Deontic modality,Negative,Eczema,Topical Steroid Withdrawal,Flu-like,Topical Steroid Withdrawal,Skin-Related
Elidel,Drugs.com,I've been so interested to find out what others think about Elidel. I've been suffering with eczema all my life. I was recently given Elidel to try but I literally want to rip my skin off after I apply it. It makes my face so hot and painful! Such a pity because I know it's suppose to be great! Anyone else feel this?,"['interested', 'find', 'think', 'elidel', 'suffer', 'eczema', 'life', 'recently', 'give', 'elidel', 'try', 'literally', 'want', 'rip', 'skin', 'apply', 'make', 'face', 'hot', 'painful', 'pity', 'know', 'suppose', 'great', 'feel']",0.08,Epistemic modality,Negative,Eczema,Topical Steroid Withdrawal,Flu-like,Topical Steroid Withdrawal,Skin-Related
Elidel,Drugs.com,"After being prescribed Elidel, my skin got much worse. I thought it would get worse and then eventually get better, but I was very wrong. Months later, not only has Elidel caused extreme, extreme, EXTREME skin discolouration, but my eczema has gotten worse, my immune system has weakened, and I am constantly sick. Highly do not recommend. I've had eczema for over half my life, and it has never been worse than it is now, thanks to Elidel.","['prescribe', 'elidel', 'skin', 'get', 'bad', 'think', 'bad', 'eventually', 'well', 'wrong', 'month', 'later', 'elidel', 'cause', 'extreme', 'extreme', 'extreme', 'skin', 'discolouration', 'eczema', 'get', 'bad', 'immune', 'system', 'weaken', 'constantly', 'sick', 'highly', 'recommend', 'eczema', 'half', 'life', 'bad', 'thank', 'elidel']",0.257143,Deontic modality,Negative,Eczema,"Topical Steroid Withdrawal, Weakened Immunity System",Flu-like,"Topical Steroid Withdrawal, Weakened Immune System","Skin-Related,General"
Elidel,Drugs.com,"After having eczema most of my life, it seemed to get worse after having allergy shots. 18 months ago the rash was on my face, neck, shoulders, back, and some on my stomach and legs. Hot sweaty weather was unbearable. I had 4 triamcinolone shots over 14 months. The shots cleared me up, but their good effect became less each time, and I had arm bruising and started to get anxiety episodes. A new doctor prescribed tacrolimus for my face, but I was allergic to it. Elidel is working for now, clearing angry red patches on the sides of my neck and most of the problems areas on my face, including my left eye. My arms also got better even though I only used Pimecrolimus on face and neck. However, I feel tired, sometimes bone tired. Twice in six weeks of use I have had swollen glands and a cold with a fatigue that keeps coming back. I pause the medication to get better. The skin repair is like magic, but I am worried about the side effects. A weak immune system is a big deal.","['have', 'eczema', 'life', 'bad', 'have', 'allergy', 'shot', '18', 'month', 'ago', 'rash', 'face', 'neck', 'shoulder', 'stomach', 'leg', ' ', 'hot', 'sweaty', 'weather', 'unbearable', '4', 'triamcinolone', 'shot', '14', 'month', 'shot', 'clear', 'good', 'effect', 'time', 'arm', 'bruising', 'start', 'anxiety', 'episode', 'new', 'doctor', 'prescribe', 'tacrolimus', 'face', 'allergic', 'elidel', 'work', 'clear', 'angry', 'red', 'patch', 'side', 'neck', 'problem', 'area', 'face', 'include', 'left', 'eye', 'arm', 'get', 'well', 'pimecrolimus', 'face', 'neck', 'feel', 'tired', 'bone', 'tired', 'twice', 'week', 'use', 'swollen', 'gland', 'cold', 'fatigue', 'keep', 'come', 'pause', 'medication', 'well', 'skin', 'repair', 'like', 'magic', 'worried', 'effect', 'weak', 'immune', 'system', 'big', 'deal']",0.258427,Deontic modality,Neutral,Eczema,"Weakened Immune System, Fatigue",Flu-like,"Weakened Immune System, Fatigue","General,Psychological"
Elidel,Drugs.com,"I never leave reviews for anything, but knowing someone like myself is coming here to get info I had too. I've been dealing with embarrassing clusters of seb derm/eczema on the side of my nose and perioral areas. I've tried everything for the last 2 years and someone gave me a tube of this and I tried it and, knock on wood its day 3 and my face is almost back to normal. Give this a shot, I haven't had any side effects or than some drying of the areas I've used it.","['leave', 'review', ' ', 'know', 'like', 'come', 'info', 'deal', 'embarrassing', 'cluster', 'seb', 'derm', 'eczema', 'nose', 'perioral', 'area', ' ', 'try', '2', 'year', 'give', 'tube', 'try', ' ', 'knock', 'wood', 'day', '3', 'face', 'normal', ' ', 'shot', ' ', ' ', 'effect', 'drying', 'area']",0.135135,Uncertain modality,Positive,Eczema,Nil,Nil,Nil,Nil
Elidel,Drugs.com,"Have had rosacea for YEARS and have been on meds that affect my hormones for the same amount of time. I started a new med in Nov 2019 and the rosacea became unbearable so I told the Dermy and she said she thought I looked more like I had eczema than rosacea and prescribed me elidel. I am 35 and have never been told by ANY doctor I had eczema so I was shocked at hearing this. She also prescribed me Doxycycline and the first 13-15 days were fantastic, my skin felt smooth, yet still showed redness. All of a sudden after 2 weeks bumps began to form and now nearly 5 weeks after I started the cream my face is absolutely HORRIFYING. I have bumps ALL over my face, they itch like no tomorrow and my face feels tight and irritated. I stopped the cream 6 days ago but there is 0 change in the quality or appearance of the skin. I look 15 years older as well and am heartbroken over what this cream has done to my face. If you DON'T have eczema, DON'T USE THIS CREAM!!!!!!","['rosacea', 'years', 'med', 'affect', 'hormone', 'time', 'start', 'new', 'med', 'nov', '2019', 'rosacea', 'unbearable', 'tell', 'dermy', 'say', 'think', 'look', 'like', 'eczema', 'rosacea', 'prescribe', 'elidel', '35', 'tell', 'doctor', 'eczema', 'shock', 'hear', 'prescribe', 'doxycycline', '13', '15', 'day', 'fantastic', 'skin', 'feel', 'smooth', 'show', 'redness', 'sudden', '2', 'week', 'bump', 'begin', 'form', 'nearly', '5', 'week', 'start', 'cream', 'face', 'absolutely', 'horrifying', 'bump', 'face', 'itch', 'like', 'tomorrow', 'face', 'feel', 'tight', 'irritated', 'stop', 'cream', '6', 'day', 'ago', '0', 'change', 'quality', 'appearance', 'skin', 'look', '15', 'year', 'old', 'heartbroken', 'cream', 'face', ""don't"", 'eczema', ""don't"", 'use', 'cream']",0.070588,Deontic modality,Negative,Eczema,Topical Steroid Withdrawal,Flu-like,Topical Steroid Withdrawal,Skin-Related
Elidel,Drugs.com,"My daughter just turned two and has failed every conventional method of treating her eczema. We have seen multiple specialists and after much consideration ( due to the warnings and side effects) we decided to try Elidel. After 3 days she was almost clear. By one week she was free of eczema, severe itching ( which is by far the worst symptom) and redness/ dry skin. We stopped the medication as directed and within one day she was in a FULL flare. We thought perhaps we did not use it long enough? We tried it again daily for another week and here we are again back in a full flare after daily use for two weeks! So discouraging! Has anyone exp. this???","['daughter', 'turn', 'fail', 'conventional', 'method', 'treat', 'eczema', 'see', 'multiple', 'specialist', 'consideration', 'warning', 'effect', 'decide', 'try', 'elidel', '3', 'day', 'clear', 'week', 'free', 'eczema', 'severe', 'itching', ' ', 'far', 'bad', 'symptom', 'redness/', 'dry', 'skin', 'stop', 'medication', 'direct', 'day', 'flare', 'think', 'use', 'long', 'try', 'daily', 'week', 'flare', 'daily', 'use', 'week', 'discouraging', 'exp']",0.291667,Deontic modality,Neutral,Eczema,Nil,Nil,Nil,Nil
Elidel,Drugs.com,"I had got little bumps (not like acne you can pop) all over my entire face! Yes, around my mouth, forehead, cheeks and the side of my face. It was horrible. I went to the dermatologist and she prescribed elidel. I put it on twice a day and it worked fast! They started clearing up by the third day of usage and by the sixth day they were gone. My face is clearer then before. At first using in the dosage in the morning and going outside the sun kind of irritated my skin and caused my areas of the skin on my face to itch. So I would either put the morning dose on like at 6 or 7 am bc I knew I wouldn’t be leaving the house till 12 and the last amount at night. I recommend don’t put it on skin and go straight into the sun. But I’m so glad my doctor prescribed this it worked for me and had no serious side effects . Oh and you don’t have apply much either!","['get', 'little', 'bump', 'like', 'acne', 'pop', 'entire', 'face', 'yes', 'mouth', 'forehead', 'cheek', 'face', 'horrible', 'go', 'dermatologist', 'prescribe', 'elidel', 'twice', 'day', 'work', 'fast', 'start', 'clear', 'day', 'usage', 'sixth', 'day', 'go', 'face', 'clear', 'dosage', 'morning', 'go', 'outside', 'sun', 'kind', 'irritated', 'skin', 'cause', 'area', 'skin', 'face', 'itch', 'morning', 'dose', 'like', '6', '7', 'bc', 'know', 'leave', 'house', 'till', '12', 'night', 'recommend', 'skin', 'straight', 'sun', 'glad', 'doctor', 'prescribe', 'work', 'effect', 'oh', 'apply']",0.223881,Epistemic modality,Positive,Eczema,Nil,Nil,Nil,Nil
Elidel,Drugs.com,"I started using Elidel about a week ago the first day I put it on it was unbearably burning and itching the second day it was still stinging but not as bad and now when I use it , it doesn't burn anymore. IT clears me up pretty fast but I still get dry peeling skin at the application site. I’ve noticed since starting I’ve gotten way more tired . Like I sleep for 8 hours and can't get out if bed dead tired.","['start', 'elidel', 'week', 'ago', 'day', 'unbearably', 'burn', 'itch', 'second', 'day', 'sting', 'bad', 'use', 'burn', 'anymore', 'clear', 'pretty', 'fast', 'dry', 'peel', 'skin', 'application', 'site', 'notice', 'start', 'get', 'way', 'tired', 'like', 'sleep', '8', 'hour', 'bed', 'dead', 'tired']",0.057143,Epistemic modality,Neutral,Eczema,Fatigue,Body-Pain,Fatigue,Psychological
Elidel,Drugs.com,I have been using Elidel for about two and a half years. I use it on my face because apparently it does not thin out the skin the way steroid ointments do. Elidel works great on my eyelids as long as I apply it twice a day. It works fairly well on my cheeks and forehead. I have not experienced any side effects while using Elidel.,"['elidel', 'half', 'year', 'use', 'face', 'apparently', 'thin', 'skin', 'way', 'steroid', 'ointment', 'elidel', 'work', 'great', 'eyelid', 'long', 'apply', 'twice', 'day', 'work', 'fairly', 'cheek', 'forehead', 'experience', 'effect', 'elidel']",0.076923,Epistemic modality,Positive,Eczema,Nil,Nil,Nil,Nil
